,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
533,SEAT Ibiza,2012 (12 reg),2 owners,"98,000 miles",1.4L,85PS,Manual,Petrol,"£2,450",N/A,Hatchback,,N/A
534,Peugeot 207,2011 (11 reg),N/A,"86,000 miles",1.4L,95PS,Manual,Petrol,"£2,499",N/A,Hatchback,SHEFF CARS LTD - See all 51 cars,Dealer locationSheffield
535,Vauxhall Astra,2010 (60 reg),11 owners,"115,826 miles",1.4L,100PS,Manual,Petrol,"£1,370",Cat D,Hatchback,,N/A
536,Mazda2,2012 (62 reg),2 owners,"106,000 miles",1.3L,84PS,Manual,Petrol,"£2,489",N/A,Hatchback,Modern Classic Cars - See all 35 cars,Dealer locationKeighley
537,Nissan Note,2011 (61 reg),3 owners,"80,000 miles",1.4L,88PS,Manual,Petrol,"£1,895",N/A,Hatchback,MS MOTORS - See all 26 cars,Dealer locationOssett
538,Volvo S40,2009 (09 reg),N/A,"69,000 miles",2.0L,136PS,Automatic,Diesel,"£5,589",N/A,Saloon,Car World Sheffield - See all 21 cars,Dealer locationSheffield
539,Vauxhall Astra,2012 (12 reg),5 owners,"99,000 miles",1.6L,115PS,Manual,Petrol,"£3,295",N/A,Hatchback,FHS Car Sales - See all 16 cars,Dealer locationStockport
540,MINI Hatch,2005 (05 reg),N/A,"153,000 miles",1.6L,115PS,Manual,Petrol,£595,N/A,Hatchback,Paragon Car Sales Ltd - See all 62 cars,Dealer locationFarnham
541,Vauxhall Corsa,2011 (61 reg),Full service history,"65,000 miles",1.0L,65PS,Manual,Petrol,"£2,495",N/A,Hatchback,A.P MOTORS LEEDS - See all 3 cars,Dealer locationLeeds
542,Vauxhall Corsa,2014 (64 reg),N/A,"125,000 miles",1.3L,75PS,Manual,Diesel,"£2,995",N/A,Hatchback,SAL PRESTIGE - See all 14 cars,Dealer locationLeicester
543,BMW Alpina B10,2003 (52 reg),N/A,Full service history,N/A,N/A,N/A,N/A,"£5,995",N/A,"123,000 miles",Unique Motors - See all 22 cars,Dealer locationCastleford
544,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,255",N/A,SUV,Carsa - See all 193 cars,Dealer locationCollect from Bradford
545,MG MG Zs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
