,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1319,Volkswagen Polo,2015 (15 reg),2 owners,"100,000 miles",1.0L,75PS,Manual,Petrol,"£5,950",N/A,Hatchback,CAR CITY (LUTON) LIMITED - See all 115 cars,Dealer locationLuton
1320,Toyota Yaris,2009 (59 reg),2 owners,"100,980 miles",1.0L,69PS,Manual,Petrol,"£2,499",N/A,Hatchback,AL Prestige Cars Ltd - See all 186 cars,Dealer locationSouthampton
1321,Volkswagen Golf,2009 (58 reg),N/A,"133,000 miles",3.2L,247BHP,Manual,Petrol,"£4,990",N/A,Hatchback,JD Enterprise - See all 57 cars,Dealer locationWoking
1322,SEAT Exeo,2009 (59 reg),1 owner,"115,915 miles",2.0L,143PS,Manual,Diesel,"£1,990",N/A,Estate,Car Max Motors - See all 31 cars,Dealer locationEpsom
1323,Ford Fiesta,2009 (59 reg),4 owners,"115,000 miles",1.4L,67BHP,Manual,Diesel,"£1,790",N/A,Hatchback,Harry's Car Sales - See all 334 cars,Dealer locationPeterborough
1324,Ford Mondeo,2003 (53 reg),5 owners,"84,815 miles",3.0L,224BHP,Manual,Petrol,"£1,990",N/A,Hatchback,DVP CAR SALES LTD - See all 104 cars,Dealer locationCroydon
1325,BMW 3 Series,2008 (58 reg),N/A,"118,000 miles",2.0L,167BHP,Manual,Petrol,"£3,295",N/A,Coupe,Motor Shop - See all 124 cars,Dealer locationWest Drayton
1326,Hyundai i30,2010 (10 reg),N/A,"100,763 miles",1.6L,115PS,Automatic,Diesel,"£2,495",N/A,Hatchback,Supreme Cars - See all 22 cars,Dealer locationLuton
1327,Nissan X-Trail,2006 (56 reg),2 owners,"147,406 miles",2.2L,136BHP,Manual,Diesel,"£1,495",N/A,SUV,Reflex Autos Limited - See all 17 cars,Dealer locationShepperton
1328,Nissan Juke,2020 (70 reg),N/A,"6,800 miles",1.0L,114PS,Manual,Petrol,"£17,999",N/A,SUV,Yeomans Nissan Portsmouth - See all 33 cars,Dealer locationWaterlooville
1329,Renault Captur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1330,Nissan Qashqai,2019 (69 reg),N/A,"36,499 miles",1.3L,140PS,Manual,Petrol,"£17,599",N/A,SUV,Yeomans Nissan Portsmouth - See all 33 cars,Dealer locationWaterlooville
1331,SKODA Fabia,2012 (12 reg),N/A,"92,000 miles",1.2L,86PS,Manual,Petrol,"£3,990",N/A,Hatchback,Choices Motor Company - See all 18 cars,Dealer locationMaidenhead
1332,Citroen C4,2006 (06 reg),1 owner,"99,802 miles",1.6L,110BHP,Manual,Petrol,£995,N/A,Hatchback,Burton Cheap Cars - See all 57 cars,Dealer locationBurton On Trent
1333,MINI Hatch,2006 (56 reg),N/A,"105,000 miles",1.6L,91PS,Manual,Petrol,"£1,250",N/A,Hatchback,Sandy Cars - See all 44 cars,Dealer locationSandy
1334,Ford Fiesta,2015 (15 reg),N/A,"79,000 miles",1.5L,75PS,Manual,Diesel,"£2,995",Cat S,Hatchback,Berkshire Van Sales - See all cars,Dealer locationSlough
1335,MINI Hatch,2008 (58 reg),N/A,"117,474 miles",1.6L,110PS,Manual,Diesel,"£2,000",N/A,Hatchback,Carwebs Motors Limited - See all 45 cars,Dealer locationSt Albans
1336,Honda Civic,2005 (05 reg),2 owners,"140,000 miles",1.6L,108BHP,Manual,Petrol,"£1,995",N/A,Hatchback,Firstline Cars Ltd - See all 20 cars,Dealer locationReading
1337,Hyundai Atoz,1999 (V reg),N/A,"100,000 miles",1.0L,55BHP,Manual,Petrol,£300,N/A,Hatchback,Castle Motors - See all 19 cars,Dealer locationLeeds
1338,Ford Fiesta,2009 (59 reg),5 owners,"99,000 miles",1.25L,81BHP,Manual,Petrol,"£2,495",N/A,Hatchback,Autoconnection - See all 5 cars,Dealer locationUckfield
1339,Ford Fiesta,2008 (08 reg),6 owners,"109,428 miles",1.25L,74BHP,Manual,Petrol,£995,N/A,Hatchback,Grand Cars - See all 9 cars,Dealer locationRomford
1340,MINI Convertible,2008 (57 reg),N/A,"80,000 miles",1.6L,115PS,Manual,Petrol,"£2,750",N/A,Convertible,Prime Cars - See all 23 cars,Dealer locationEdgware
1341,Ford Fiesta,2016 (66 reg),N/A,"48,000 miles",1.25L,82PS,Manual,Petrol,"£6,500",N/A,Hatchback,New Stone Motors - See all 65 cars,Dealer locationAddlestone
1342,Nissan Qashqai,2019 (69 reg),N/A,"36,499 miles",1.3L,140PS,Manual,Petrol,"£17,599",N/A,SUV,Yeomans Nissan Portsmouth - See all 33 cars,Dealer locationWaterlooville
1343,Nissan Qashqai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1344,Vauxhall Crossland X,2018 (68 reg),2 owners,"35,085 miles",1.2L,108BHP,Automatic,Petrol,"£12,449",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
1345,Suzuki Swift,2002 (52 reg),N/A,"36,844 miles",1.0L,52BHP,Manual,Petrol,"£1,690",N/A,Hatchback,Trade Price Car Sales - See all 30 cars,Dealer locationHigh Wycombe
1346,Vauxhall Astra,2012 (12 reg),2 owners,"89,804 miles",1.6L,115PS,Manual,Petrol,"£3,200",N/A,Hatchback,,N/A
1347,Vauxhall Corsa,2007 (57 reg),6 owners,"78,000 miles",1.2L,79BHP,Manual,Petrol,"£2,495",N/A,Hatchback,Impulse automotive - See all 21 cars,Dealer locationGloucester
1348,Vauxhall Astra,2009 (59 reg),Part service history,"100,287 miles",1.8L,138BHP,Manual,Petrol,"£2,290",N/A,Hatchback,Car Bazaar Ltd - See all 23 cars,Dealer locationSheffield
1349,Mazda6,2009 (59 reg),2 owners,"68,605 miles",2.0L,145BHP,Manual,Petrol,"£3,495",N/A,Hatchback,,N/A
1350,Honda Cr-V,2009 (59 reg),2 owners,"168,000 miles",2.0L,148BHP,Manual,Petrol,"£1,990",N/A,SUV,Heathrow Vehicle Sales - See all 10 cars,Dealer locationStanwell Moor
1351,KIA Proceed,2014 (63 reg),N/A,"95,000 miles",1.6L,204PS,Manual,Petrol,"£5,590",N/A,Hatchback,GM Motoring World LTD - See all 92 cars,Dealer locationGreat Missenden
