,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1200,Vauxhall Astra,2011 (11 reg),N/A,"121,000 miles",1.7L,110PS,Manual,Diesel,"£1,195",N/A,Hatchback,Baran Motors - See all 15 cars,Dealer locationDerby
1201,Ford B-Max,2012 (62 reg),2 owners,"111,467 miles",1.0L,100PS,Manual,Petrol,"£1,000",N/A,MPV,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
1202,Vauxhall Crossland,2021 (21 reg),N/A,"41,957 miles",1.2L,110PS,Manual,Petrol,"£13,800",N/A,SUV,Bristol Street Motors Vauxhall Newcastle - See all 41 cars,Dealer locationNewcastle Upon Tyne
1203,Tesla Model 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1204,Vauxhall Crossland,2021 (21 reg),N/A,"41,957 miles",1.2L,110PS,Manual,Petrol,"£13,800",N/A,SUV,Bristol Street Motors Vauxhall Newcastle - See all 41 cars,Dealer locationNewcastle Upon Tyne
1205,Renault Megane,2006 (06 reg),4 owners,"80,000 miles",1.6L,111BHP,Manual,Petrol,"£1,395",N/A,Convertible,C J MOTOR GROUP LIMITED - See all 11 cars,Dealer locationRedcar
1206,Ford Fusion,2007 (07 reg),5 owners,"134,567 miles",1.4L,79BHP,Manual,Petrol,£795,N/A,Hatchback,A Car Sales - See all 12 cars,Dealer locationBirmingham
1207,Toyota Verso,2011 (61 reg),2 owners,"115,947 miles",2.0L,126PS,Manual,Diesel,"£3,500",N/A,MPV,Zaq Motors - See all 16 cars,Dealer locationNelson
1208,Ford Focus,2010 (10 reg),2 owners,"159,755 miles",1.6L,99BHP,Manual,Petrol,"£1,195",N/A,Hatchback,TMV Cars - See all 11 cars,Dealer locationBurton On Trent
1209,Ford S-Max,2009 (59 reg),N/A,"162,000 miles",2.2L,173BHP,Manual,Diesel,"£1,890",N/A,MPV,George St Car Sales - See all 29 cars,Dealer locationDarwen
1210,Toyota RAV4,2005 (05 reg),3 owners,"100,360 miles",2.0L,114BHP,Manual,Diesel,"£2,499",N/A,SUV,SHEFF CARS LTD - See all 51 cars,Dealer locationSheffield
1211,Citroen C4,2007 (07 reg),N/A,"76,000 miles",1.6L,110BHP,Automatic,Petrol,"£2,350",N/A,Hatchback,Ripon Auto Centre - See all 41 cars,Dealer locationRipon
