,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1288,Volkswagen Golf Sv,2019 (19 reg),3 owners,"42,007 miles",1.5L,130PS,Manual,Petrol,"£13,150",N/A,MPV,FRF Lexus Cardiff - See all 58 cars,Dealer locationCardiff
1289,MINI Countryman,2015 (15 reg),3 owners,"64,871 miles",2.0L,143BHP,Manual,Diesel,"£9,995",N/A,SUV,Eden Mazda Taunton - See all 59 cars,Dealer locationTaunton
1290,BMW X1,2012 (12 reg),2 owners,"51,200 miles",2.0L,174BHP,Automatic,Diesel,"£9,995",N/A,SUV,BM Motors - See all 71 cars,Dealer locationSaltash
1291,KIA RIO,2017 (17 reg),2 owners,"45,000 miles",1.25L,84PS,Manual,Petrol,"£8,995",N/A,Hatchback,Totnes Car Sales - See all 12 cars,Dealer locationTotnes
1292,Vauxhall Vectra,2007 (57 reg),N/A,"59,000 miles",1.8L,138BHP,Manual,Petrol,"£1,495",N/A,Hatchback,Percy Motors Birmingham Ltd - See all 42 cars,Dealer locationBirmingham
1293,Peugeot 208,2013 (13 reg),3 owners,"50,000 miles",1.0L,68PS,Manual,Petrol,"£3,795",N/A,Hatchback,Prestige Car Sales - See all 22 cars,Dealer locationWillesden
1294,Citroen C1,2011 (61 reg),N/A,"75,000 miles",1.0L,68PS,Manual,Petrol,"£1,495",N/A,Hatchback,WCC - See all 128 cars,Dealer locationHook
1295,Ford KA,2013 (62 reg),3 owners,"63,000 miles",1.2L,69PS,Manual,Petrol,"£3,690",N/A,Hatchback,Supreme Cars Cheltenham Ltd - See all 11 cars,Dealer locationCheltenham
1296,Peugeot 308,2014 (14 reg),Part service history,"99,000 miles",1.6L,92PS,Manual,Diesel,"£4,599",N/A,Hatchback,A.A AUTOMOTIVE - See all 65 cars,Dealer locationWillesden
1297,Volkswagen Golf,2006 (56 reg),N/A,"142,000 miles",2.0L,168BHP,Automatic,Diesel,"£3,995",N/A,Hatchback,Bateman & Lynch Cars Tavistock Ltd - See all 24 cars,Dealer locationTavistock
1298,MINI Hatch,2011 (11 reg),N/A,"56,874 miles",1.6L,98PS,Manual,Petrol,"£5,299",N/A,Hatchback,Hatters Car Sales (Luton) Ltd - See all 59 cars,Dealer locationLuton
1299,Lexus IS 250,2007 (07 reg),N/A,"128,199 miles",2.5L,204BHP,Manual,Petrol,"£2,222",N/A,Saloon,Bravo Motorcars Ltd - See all 32 cars,Dealer locationRickmansworth
1300,Volkswagen Golf Sv,2019 (19 reg),3 owners,"42,007 miles",1.5L,130PS,Manual,Petrol,"£13,150",N/A,MPV,FRF Lexus Cardiff - See all 58 cars,Dealer locationCardiff
1301,SKODA Karoq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1302,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,255",N/A,SUV,Carsa - See all 193 cars,Dealer locationCollect from Southampton
1303,Honda Accord,2007 (57 reg),5 owners,"192,567 miles",2.2L,138BHP,Manual,Diesel,£950,N/A,Saloon,A Car Sales - See all 12 cars,Dealer locationBirmingham
1304,Peugeot 207,2009 (58 reg),N/A,"82,800 miles",1.4L,75BHP,Manual,Petrol,"£1,399",N/A,Hatchback,Ashby Budget Cars - See all 18 cars,Dealer locationSwadlincote
1305,Vauxhall Astra,2005 (05 reg),Full service history,"77,000 miles",1.9L,148BHP,Manual,Diesel,"£1,984",N/A,Hatchback,Dwd Vehicle Solutions - See all 23 cars,Dealer locationCranbrook
1306,Nissan Qashqai,2011 (11 reg),3 owners,"81,073 miles",1.5L,110PS,Manual,Diesel,"£5,100",N/A,SUV,John Beer Van Sales - See all cars,Dealer locationChard
1307,BMW 3 Series,2004 (54 reg),N/A,"118,000 miles",2.0L,143BHP,Manual,Petrol,£749,N/A,Saloon,Car Valley - See all 101 cars,Dealer locationWembley
1308,Renault Clio,2010 (59 reg),3 owners,"69,000 miles",1.2L,100PS,Manual,Petrol,"£2,999",N/A,Hatchback,Staple Hill Motor Company Limited - See all 29 cars,Dealer locationBristol
1309,BMW 1 Series,2005 (54 reg),7 owners,"197,072 miles",2.0L,163PS,Automatic,Diesel,"£1,495",N/A,Hatchback,AP MOTORS,Dealer locationStoke On Trent
