,name,year,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
25467,Ford Fiesta,2008,106000.0,1.25L,74.0,Manual,Petrol,1290,GC,Hatchback,A & S Motors,Walsall,08,Ford
25469,Suzuki Alto,2005,50000.0,1.1L,61.0,Manual,Petrol,995,GC,Hatchback,Trent Motor Shop,Burton On Trent,55,Suzuki
25470,Renault Megane,2009,136000.0,1.6L,108.0,Manual,Petrol,1989,GC,Hatchback,Fame Cars Ltd,Birmingham,59,Renault
25471,Peugeot 208,2013,97000.0,1.4L,67.0,Manual,Diesel,2500,GC,Hatchback,H&A Car Sales,Sheffield,62,Peugeot
25472,SEAT Ibiza,2012,125000.0,1.4L,84.0,Manual,Petrol,2999,GC,Hatchback,Ultimate Drive,Dewsbury,,SEAT
25482,Volkswagen Passat,2012,139000.0,2.0L,138.0,Manual,Diesel,3995,GC,Estate,Baran Motors,Derby,,Volkswagen
25484,MINI Hatch,2007,84200.0,1.6L,118.0,Manual,Petrol,1500,GC,Hatchback,Parkside Motor Store,Bolton,07,MINI
25485,Honda Jazz,2004,185130.0,1.4L,82.0,Manual,Petrol,745,Cat C,Hatchback,Repute Motors,Oldham,04,Honda
25487,Honda Civic,2007,157000.0,1.8L,138.0,Manual,Petrol,1549,GC,Hatchback,Northern Car Centre Limited,Preston,07,Honda
25493,Volkswagen Polo,2010,113000.0,1.6L,89.0,Manual,Diesel,3495,GC,Hatchback,Cawley Motors,Bradford,59,Volkswagen
25494,Vauxhall Vectra,2008,138000.0,3.0L,181.0,Manual,Diesel,2495,GC,Hatchback,PX Motors LTD,Wakefield,08,Vauxhall
25495,MINI Hatch,2005,101000.0,1.6L,113.0,Manual,Petrol,1195,GC,Hatchback,PLF Cars,Chertsey,05,MINI
25496,Renault Megane,2008,190000.0,1.5L,106.0,Manual,Diesel,599,GC,Hatchback,BASFORD MOTORS LTD,Stoke On Trent,08,Renault
25498,Citroen Saxo,2002,59500.0,1.6L,120.0,Manual,Petrol,5988,GC,Hatchback,Get Car Finance Here,Barnoldswick,52,Citroen
25501,BMW 3 Series,2008,177000.0,2.0L,175.0,Manual,Diesel,1995,GC,Coupe,Unique Cars Lancashire,Nelson,58,BMW
25507,Peugeot 206,2005,81080.0,1.1L,60.0,Manual,Petrol,999,GC,Hatchback,GPS Auto Motors Ltd,Tipton,55,Peugeot
25508,Ford Fiesta,2007,87791.0,1.25L,74.0,Manual,Petrol,499,Cat D,Hatchback,GENERAL MOTORS,Birmingham,57,Ford
25511,Mitsubishi ASX,2011,86000.0,1.8L,145.0,Manual,Diesel,3495,GC,SUV,Ultimate Drive,Dewsbury,11,Mitsubishi
25512,Peugeot 207,2009,82800.0,1.4L,75.0,Manual,Petrol,1399,GC,Hatchback,Ashby Budget Cars,Swadlincote,58,Peugeot
25513,Nissan Pixo,2010,160000.0,1.0L,67.0,Manual,Petrol,1095,GC,Hatchback,APEX Motor Company,Rotherham,10,Nissan
25514,Ford Focus,2010,106000.0,1.6L,99.0,Manual,Petrol,2444,GC,Hatchback,The Car Hive,Stockport,10,Ford
25516,Toyota Auris,2009,78000.0,1.4L,97.0,Manual,Petrol,2000,GC,Hatchback,PRIORY MOTORS SYKEHOUSE,Goole,09,Toyota
25521,Ford Focus,2004,91000.0,1.6L,99.0,Manual,Petrol,850,Cat C,Hatchback,SN MOTORS,Bradford,,Ford
25522,Chrysler Crossfire,2004,73000.0,3.2L,215.0,Automatic,Petrol,2495,GC,Coupe,Ashton Quality Cars Ltd,Ashton Under Lyne,,Chrysler
25523,Vauxhall Corsa,2012,104000.0,1.4L,99.0,Manual,Petrol,1990,GC,Hatchback,YORKSHIRE CAR SALES,Wakefield,,Vauxhall
25524,Citroen C4 Picasso,2007,119000.0,1.6L,108.0,Manual,Diesel,1499,GC,MPV,Ultimate Drive,Dewsbury,57,Citroen
25525,Nissan Qashqai,2010,91000.0,1.5L,108.0,Manual,Diesel,4089,GC,SUV,Piston & Rotor The Garage,Bury,60,Nissan
25527,Peugeot 207 CC,2008,69000.0,1.6L,120.0,Manual,Petrol,1548,GC,Convertible,Alexander Daniel,Wilmslow,57,Peugeot
25529,Suzuki Grand Vitara,2009,64000.0,1.6L,105.0,Manual,Petrol,2795,GC,SUV,Lyme Green Car Sales,Macclesfield,09,Suzuki
25537,SEAT Ibiza,2013,122767.0,1.2L,104.0,Manual,Petrol,3695,GC,Hatchback,Repute Motors,Oldham,63,SEAT
25538,Peugeot 206 SW,2006,123000.0,1.4L,68.0,Manual,Diesel,1290,GC,Estate,Jap Autos LTD,Accrington,06,Peugeot
25539,Peugeot 307 SW,2008,118600.0,1.6L,110.0,Manual,Petrol,1290,GC,Estate,Central Station Motors,Burnley,08,Peugeot
25541,Peugeot 107,2007,97282.0,1.0L,67.0,Manual,Petrol,1245,GC,Hatchback,Repute Motors,Oldham,56,Peugeot
25542,Citroen C4,2006,99802.0,1.6L,110.0,Manual,Petrol,995,GC,Hatchback,Burton Cheap Cars,Burton On Trent,06,Citroen
25543,MINI Hatch,2008,98123.0,1.6L,118.0,Manual,Petrol,2499,GC,Hatchback,TG MOTORS LTD,Oldham,58,MINI
25549,Vauxhall Astra,2010,151833.0,1.9L,148.0,Manual,Diesel,1195,GC,Hatchback,Burton Cheap Cars,Burton On Trent,10,Vauxhall
25550,Vauxhall Astra,2012,99000.0,1.6L,113.0,Manual,Petrol,3295,GC,Hatchback,FHS Car Sales,Stockport,,Vauxhall
25551,Peugeot 207,2012,81000.0,1.6L,91.0,Manual,Diesel,2495,GC,Hatchback,Ghost Motors LTD,Cleckheaton,,Peugeot
25552,Vauxhall Astra,2011,99218.0,1.6L,113.0,Manual,Petrol,2495,GC,Hatchback,Greenlight,Blackburn,60,Vauxhall
25553,Honda Civic,2013,193436.0,1.6L,118.0,Manual,Diesel,1990,GC,Hatchback,HCC,Halifax,13,Honda
25554,Toyota Avensis,2011,155000.0,2.0L,124.0,Manual,Diesel,1899,GC,Estate,Za,Burton On Trent,61,Toyota
25555,Fiat Bravo,2008,106000.0,1.4L,90.0,Manual,Petrol,999,GC,Hatchback,HRM Motors,Birmingham,08,Fiat
25558,Mitsubishi Lancer,2008,170000.0,1.8L,140.0,Manual,Petrol,1995,GC,Saloon,EMINENT MOTOR GROUP LTD,Oldham,10,Mitsubishi
25563,Saab 9-3,2009,253000.0,1.9L,178.0,Manual,Diesel,995,GC,Saloon,Parkside Motor Store,Bolton,59,Saab
